,close,high,low,open,volume
2018-12-31 15:00:00+00:00,66.95,66.95,66.94,66.94,3
2018-12-31 15:00:10+00:00,66.96,66.96,66.95,66.95,3
2018-12-31 15:00:20+00:00,66.96,66.96,66.96,66.96,0
2018-12-31 15:00:30+00:00,66.99,66.99,66.99,66.99,1
2018-12-31 15:00:40+00:00,66.99,66.99,66.99,66.99,0
2018-12-31 15:00:50+00:00,66.99,66.99,66.99,66.99,0
2018-12-31 15:01:00+00:00,66.99,66.99,66.99,66.99,0
2018-12-31 15:01:10+00:00,67.1,67.1,67.1,67.1,1
2018-12-31 15:01:20+00:00,67.12,67.12,67.09,67.11,10
2018-12-31 15:01:30+00:00,67.13,67.13,67.12,67.12,6
2018-12-31 15:01:40+00:00,67.13,67.13,67.12,67.13,0
2018-12-31 15:01:50+00:00,67.08,67.11,67.05,67.11,33
2018-12-31 15:02:00+00:00,67.09,67.09,67.09,67.09,1
2018-12-31 15:02:10+00:00,67.1,67.1,67.1,67.1,3
2018-12-31 15:02:20+00:00,67.12,67.12,67.12,67.12,1
2018-12-31 15:02:30+00:00,67.06,67.08,67.06,67.08,3
2018-12-31 15:02:40+00:00,67.06,67.07,67.06,67.06,0
2018-12-31 15:02:50+00:00,67.05,67.06,67.05,67.06,3
2018-12-31 15:03:00+00:00,67.09,67.09,67.09,67.09,1
2018-12-31 15:03:10+00:00,67.09,67.09,67.09,67.09,0
2018-12-31 15:03:20+00:00,67.08,67.1,67.08,67.1,9
2018-12-31 15:03:30+00:00,67.06,67.07,67.06,67.06,1
2018-12-31 15:03:40+00:00,67.07,67.07,67.07,67.07,3
2018-12-31 15:03:50+00:00,67.07,67.07,67.07,67.07,0
2018-12-31 15:04:00+00:00,67.07,67.07,67.07,67.07,0
2018-12-31 15:04:10+00:00,67.04,67.06,67.04,67.06,8
2018-12-31 15:04:20+00:00,67.0,67.03,67.0,67.03,9
2018-12-31 15:04:30+00:00,66.99,66.99,66.99,66.99,3
2018-12-31 15:04:40+00:00,66.99,66.99,66.99,66.99,0
2018-12-31 15:04:50+00:00,66.98,66.98,66.98,66.98,1
2018-12-31 15:05:00+00:00,67.02,67.02,66.98,66.98,11
2018-12-31 15:05:10+00:00,67.01,67.02,67.01,67.02,2
2018-12-31 15:05:20+00:00,67.03,67.04,67.03,67.03,12
2018-12-31 15:05:30+00:00,67.03,67.04,67.03,67.03,0
2018-12-31 15:05:40+00:00,67.05,67.05,67.05,67.05,6
2018-12-31 15:05:50+00:00,67.06,67.06,67.05,67.05,4
2018-12-31 15:06:00+00:00,67.08,67.08,67.07,67.07,7
2018-12-31 15:06:10+00:00,67.1,67.1,67.1,67.1,1
2018-12-31 15:06:20+00:00,67.1,67.1,67.1,67.1,0
2018-12-31 15:06:30+00:00,67.07,67.1,67.07,67.1,9
2018-12-31 15:06:40+00:00,67.07,67.08,67.07,67.08,10
2018-12-31 15:06:50+00:00,67.08,67.08,67.07,67.07,2
2018-12-31 15:07:00+00:00,67.08,67.08,67.08,67.08,0
2018-12-31 15:07:10+00:00,67.07,67.08,67.07,67.07,3
2018-12-31 15:07:20+00:00,67.04,67.07,67.03,67.07,28
2018-12-31 15:07:30+00:00,67.06,67.06,67.05,67.05,3
2018-12-31 15:07:40+00:00,67.06,67.06,67.06,67.06,1
2018-12-31 15:07:50+00:00,67.09,67.09,67.08,67.08,2
2018-12-31 15:08:00+00:00,67.07,67.08,67.07,67.08,6
2018-12-31 15:08:10+00:00,67.04,67.05,67.04,67.05,5
2018-12-31 15:08:20+00:00,67.01,67.05,67.0,67.05,42
2018-12-31 15:08:30+00:00,67.01,67.01,66.99,67.0,9
2018-12-31 15:08:40+00:00,67.03,67.03,67.02,67.02,5
2018-12-31 15:08:50+00:00,67.05,67.05,67.02,67.02,9
2018-12-31 15:09:00+00:00,67.05,67.05,67.05,67.05,1
2018-12-31 15:09:10+00:00,67.08,67.08,67.06,67.06,14
2018-12-31 15:09:20+00:00,67.08,67.09,67.08,67.09,4
2018-12-31 15:09:30+00:00,67.08,67.08,67.07,67.08,2
2018-12-31 15:09:40+00:00,67.04,67.07,67.04,67.07,9
2018-12-31 15:09:50+00:00,67.01,67.04,67.01,67.03,4
2018-12-31 15:10:00+00:00,66.98,67.0,66.96,67.0,8
2018-12-31 15:10:10+00:00,66.96,66.96,66.95,66.95,2
2018-12-31 15:10:20+00:00,66.98,66.98,66.96,66.96,10
2018-12-31 15:10:30+00:00,66.98,66.99,66.98,66.98,1
2018-12-31 15:10:40+00:00,66.98,66.98,66.97,66.97,5
2018-12-31 15:10:50+00:00,66.98,66.98,66.98,66.98,0
2018-12-31 15:11:00+00:00,67.0,67.0,66.99,66.99,4
2018-12-31 15:11:10+00:00,67.04,67.04,66.98,67.0,22
2018-12-31 15:11:20+00:00,67.04,67.04,67.03,67.03,4
2018-12-31 15:11:30+00:00,67.01,67.03,67.01,67.03,6
2018-12-31 15:11:40+00:00,67.02,67.02,67.02,67.02,1
2018-12-31 15:11:50+00:00,67.02,67.02,67.02,67.02,2
2018-12-31 15:12:00+00:00,67.05,67.05,67.03,67.03,3
2018-12-31 15:12:10+00:00,67.06,67.06,67.05,67.05,3
2018-12-31 15:12:20+00:00,67.02,67.03,67.01,67.03,4
2018-12-31 15:12:30+00:00,67.02,67.02,67.01,67.01,10
2018-12-31 15:12:40+00:00,67.02,67.02,67.01,67.02,0
2018-12-31 15:12:50+00:00,67.03,67.03,67.03,67.03,1
2018-12-31 15:13:00+00:00,67.04,67.05,67.03,67.03,5
2018-12-31 15:13:10+00:00,67.07,67.07,67.05,67.05,25
2018-12-31 15:13:20+00:00,67.06,67.07,67.06,67.06,1
2018-12-31 15:13:30+00:00,67.04,67.05,67.04,67.05,7
2018-12-31 15:13:40+00:00,67.07,67.08,67.06,67.06,7
2018-12-31 15:13:50+00:00,67.07,67.07,67.07,67.07,0
2018-12-31 15:14:00+00:00,67.03,67.07,67.03,67.07,5
2018-12-31 15:14:10+00:00,67.04,67.04,67.04,67.04,1
2018-12-31 15:14:20+00:00,67.04,67.04,67.04,67.04,0
2018-12-31 15:14:30+00:00,67.04,67.04,67.02,67.02,5
2018-12-31 15:14:40+00:00,67.04,67.04,67.04,67.04,0
2018-12-31 15:14:50+00:00,67.04,67.04,67.04,67.04,0
2018-12-31 15:15:00+00:00,67.06,67.06,67.05,67.06,1
2018-12-31 15:15:10+00:00,67.03,67.04,67.03,67.04,10
2018-12-31 15:15:20+00:00,67.01,67.03,67.01,67.03,4
2018-12-31 15:15:30+00:00,66.98,67.0,66.97,67.0,9
2018-12-31 15:15:40+00:00,66.98,66.98,66.97,66.97,2
2018-12-31 15:15:50+00:00,66.97,66.97,66.97,66.97,1
2018-12-31 15:16:00+00:00,66.97,66.97,66.97,66.97,0
2018-12-31 15:16:10+00:00,66.98,66.98,66.96,66.96,6
2018-12-31 15:16:20+00:00,67.01,67.01,66.98,67.0,20
2018-12-31 15:16:30+00:00,67.02,67.02,67.01,67.01,5
2018-12-31 15:16:40+00:00,67.0,67.01,67.0,67.01,4
2018-12-31 15:16:50+00:00,66.99,66.99,66.99,66.99,3
2018-12-31 15:17:00+00:00,66.99,67.0,66.99,67.0,2
2018-12-31 15:17:10+00:00,66.98,67.0,66.98,66.98,6
2018-12-31 15:17:20+00:00,66.98,66.99,66.98,66.98,3
2018-12-31 15:17:30+00:00,66.98,66.99,66.98,66.98,0
2018-12-31 15:17:40+00:00,67.01,67.02,67.0,67.0,9
2018-12-31 15:17:50+00:00,67.02,67.03,67.02,67.03,4
